# start_epoch | 1784381981.556000
# downloaded_epoch | 1784382005.808000
# session_id | af89b916-438b-4037-915a-a2036cf4a2cb
# schema | webagent_os_events_v1
# format | EVENT | VALUE | EPOCH_SECONDS
# scope | browser_page_events_not_global_os_hooks
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=633.3333740234375 y=269 pageX=633.3333740234375 pageY=381 dx=-1 dy=0 movementX=-1.0 movementY=0.0 distance=1.0 direction=left button #startSensingBtn type=button label=Stop sensing | 1784381983.863000
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=590 y=261 pageX=590 pageY=603 dx=85.33331298828125 dy=-7.333343505859375 movementX=15.0 movementY=0.0 distance=85.6 direction=right canvas #realtimeCanvas | 1784382005.197000
WHEEL_SWIPE | gesture=wheel_swipe x=590 y=261 pageX=590 pageY=603 deltaX=0.0 deltaY=-100.0 deltaZ=0.0 deltaMode=0 canvas #realtimeCanvas | 1784382005.197000
WHEEL_SWIPE | gesture=wheel_swipe x=603 y=261 pageX=603 pageY=545 deltaX=0.0 deltaY=-100.0 deltaZ=0.0 deltaMode=0 div #realtimePanel | 1784382005.250000
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=604 y=265 pageX=604 pageY=357 dx=14 dy=4 movementX=0.0 movementY=2.0 distance=14.6 direction=right button #startSensingBtn type=button label=Stop sensing | 1784382005.318000
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=629.3333740234375 y=290.3333435058594 pageX=629.3333740234375 pageY=339.0000114440918 dx=25.3333740234375 dy=25.333343505859375 movementX=10.0 movementY=9.0 distance=35.8 direction=right div #appView | 1784382005.445000
POINTER_MOVE | gesture=pointer_move pointerType=mouse buttons=0 pressure=0.000 x=642.6666870117188 y=323 pageX=642.6666870117188 pageY=371.6666679382324 dx=13.33331298828125 dy=32.666656494140625 movementX=-1.0 movementY=1.0 distance=35.3 direction=down button #startSensingBtn type=button label=Stop sensing | 1784382005.568000
POINTER_DOWN | pointerType=mouse button=0 buttons=1 pressure=0.500 x=636 y=327 pageX=636 pageY=375.6666679382324 button #startSensingBtn type=button label=Stop sensing | 1784382005.693000
POINTER_UP | pointerType=mouse button=0 buttons=0 pressure=0.000 x=636 y=327 pageX=636 pageY=375.6666679382324 durationMs=114.7 button #startSensingBtn type=button label=Stop sensing | 1784382005.808000
TAP | gesture=tap pointerType=mouse x=636 y=327 pageX=636 pageY=375.6666679382324 dx=0 dy=0 distance=0.0 durationMs=114.7 direction=right button #startSensingBtn type=button label=Stop sensing | 1784382005.808000
TAP_TO_CLICK | gesture=tap_to_click pointerType=mouse button=0 x=636 y=327 pageX=636 pageY=375.6666679382324 dx=0 dy=0 distance=0.0 durationMs=114.7 direction=right button #startSensingBtn type=button label=Stop sensing | 1784382005.808000
CLICK | gesture=click button=0 x=636 y=327 pageX=636 pageY=375.6666679382324 button #startSensingBtn type=button label=Stop sensing | 1784382005.808000
EVENT_LOG_PREPARED |  | 1784382005.808000
